Team,Target,Granularity,Model,MAE,RMSE,MAPE
CSK,runs,match,SARIMAX,14.186110824187095,16.83535287028111,8.053681364684145
CSK,wickets,match,ARIMA,1.5843235221594825,2.036151231360924,28.52677777987182
CSK,win_probability_proxy,match,ARIMA,0.5077044064125509,0.5160451573689963,41.13578108154649
DC,runs,match,SARIMAX,11.374660047185133,17.214855405292475,7.735156302758843
DC,wickets,match,ARIMA,2.381638620419961,2.6742252119876264,53.32386689336995
DC,win_probability_proxy,match,ARIMA,0.4872907277987696,0.48971838608885426,48.017497882348835
GL,runs,match,ARIMA,21.64244780092359,28.062385960138716,11.173902084300664
GL,wickets,match,ARIMA,2.5303756993608086,2.8078659556737446,32.24644482491296
GL,win_probability_proxy,match,ARIMA,0.416050675343513,0.43284596901886824,53.45842238776519
GT,runs,match,SARIMAX,9.528452023049523,13.146720185252388,5.019516923699471
GT,wickets,match,ARIMA,2.1668426605696296,2.8022660396948402,41.53267070888673
GT,win_probability_proxy,match,ARIMA,0.538174599483217,0.5500775317722033,59.805860450403884
KKR,runs,match,SARIMAX,14.571995890952016,21.506525885781464,36.656740627998616
KKR,wickets,match,ARIMA,2.1689535834082267,2.6313773973558234,44.61985961018741
KKR,win_probability_proxy,match,ARIMA,0.49910184434133703,0.49930146673625025,48.76903378280372
KTK,runs,match,SARIMAX,23.862508147707644,28.789884816029677,17.888146581231382
KTK,wickets,match,SARIMAX,3.1175352092780932,3.2359494008151013,91.48499034947477
KTK,win_probability_proxy,match,SARIMAX,0.3035886611935336,0.31575271249491904,42.514825186559534
LSG,runs,match,SARIMAX,21.266664996902627,23.113631531041925,11.230438850525472
LSG,wickets,match,ARIMA,1.9038139437058825,2.441104978974729,51.91162564978028
LSG,win_probability_proxy,match,ARIMA,0.48044284160619394,0.4858838528168164,43.33104616228975
MI,runs,match,ARIMA,28.975931535775732,35.736867118279655,15.988347031059815
MI,wickets,match,ARIMA,1.8732775035404872,2.268554736315358,44.72471097119696
MI,win_probability_proxy,match,ARIMA,0.50521001459726,0.510828453998965,42.45189377082647
PBKS,runs,match,SARIMAX,22.69690871947527,26.712640311329075,14.215180282155263
PBKS,wickets,match,ARIMA,2.025602762584823,2.432749762546231,39.852529856205834
PBKS,win_probability_proxy,match,ARIMA,0.49393571815451515,0.49518807803061055,52.879280695494266
PWI,runs,match,SARIMAX,9.908854184105058,12.466965037381291,6.953188641335725
PWI,wickets,match,ARIMA,2.2300244985704354,2.4635083578720955,36.89938993764522
PWI,win_probability_proxy,match,ARIMA,0.3870131164440625,0.430531565835749,72.22242744685447
RCB,runs,match,SARIMAX,17.004024494867096,21.12438622468345,10.773739330040362
RCB,wickets,match,ARIMA,2.265025797525326,2.6610667358186006,61.7372470037043
RCB,win_probability_proxy,match,ARIMA,0.5047243311663212,0.5057852596786945,52.55273424361489
RPS,runs,match,SARIMAX,24.202534248587256,32.33787941783658,21.34893187207374
RPS,wickets,match,ARIMA,1.735178456436083,2.7062661011907174,115.91056928334041
RPS,win_probability_proxy,match,ARIMA,0.4715580643643669,0.5218552141073171,34.71685047117603
RR,runs,match,SARIMAX,23.395275255796435,28.235167667410654,13.391250614270719
RR,wickets,match,ARIMA,2.0445584683910725,2.454039754040608,58.43711331083667
RR,win_probability_proxy,match,ARIMA,0.5055703417649186,0.5127695276951272,41.54837029460908
SRH,runs,match,SARIMAX,21.330686497912243,27.175954865092372,12.67224258571727
SRH,wickets,match,ARIMA,2.145329594023375,2.615085560137941,47.90817881676349
SRH,win_probability_proxy,match,ARIMA,0.4961333386817082,0.4972665928175251,53.09324528202393
