Team,Target,Granularity,Model,MAE,RMSE,MAPE
CSK,runs,match,SARIMAX,14.186110824187095,16.83535287028111,8.053681364684145
CSK,runs,match,ARIMA,26.372485213636754,33.60755141362238,14.873364291917982
CSK,wickets,match,ARIMA,1.5843235221594825,2.036151231360924,28.52677777987182
CSK,wickets,match,SARIMAX,1.996442602195815,2.337754449285732,39.07510282895929
CSK,win_probability_proxy,match,ARIMA,0.5077044064125509,0.5160451573689963,41.13578108154649
CSK,win_probability_proxy,match,SARIMAX,0.4855472654671711,0.5280845608377084,54.779015762144375
DC,runs,match,SARIMAX,11.374660047185133,17.214855405292475,7.735156302758843
DC,runs,match,ARIMA,28.62652835432925,35.40957812755734,16.529991059378744
DC,wickets,match,ARIMA,2.381638620419961,2.6742252119876264,53.32386689336995
DC,wickets,match,SARIMAX,2.8226471455023887,3.451726610751602,51.195503243485675
DC,win_probability_proxy,match,ARIMA,0.4872907277987696,0.48971838608885426,48.017497882348835
DC,win_probability_proxy,match,SARIMAX,0.4439531643287577,0.5281612372205406,41.43689421701995
GL,runs,match,ARIMA,21.64244780092359,28.062385960138716,11.173902084300664
GL,runs,match,SARIMAX,17.758650634666804,31.81858812820422,10.719703558856175
GL,wickets,match,ARIMA,2.5303756993608086,2.8078659556737446,32.24644482491296
GL,wickets,match,SARIMAX,3.2465885766913245,3.7619313239827905,41.61641093818893
GL,win_probability_proxy,match,ARIMA,0.416050675343513,0.43284596901886824,53.45842238776519
GL,win_probability_proxy,match,SARIMAX,0.5363632149737639,0.6177999620978977,69.27997864652453
GT,runs,match,SARIMAX,9.528452023049523,13.146720185252388,5.019516923699471
GT,runs,match,ARIMA,27.642975498439835,29.434389531065662,14.565525959245603
GT,wickets,match,ARIMA,2.1668426605696296,2.8022660396948402,41.53267070888673
GT,wickets,match,SARIMAX,2.9460385035498606,3.738155120763857,46.30502122199859
GT,win_probability_proxy,match,ARIMA,0.538174599483217,0.5500775317722033,59.805860450403884
GT,win_probability_proxy,match,SARIMAX,0.830971335274168,1.0307050798766169,39.31850103904825
KKR,runs,match,SARIMAX,14.571995890952016,21.506525885781464,36.656740627998616
KKR,runs,match,ARIMA,35.40235132248279,46.82853986481931,57.949381223344844
KKR,wickets,match,ARIMA,2.1689535834082267,2.6313773973558234,44.61985961018741
KKR,wickets,match,SARIMAX,2.3164314053781276,2.9119419721029463,48.23860430348678
KKR,win_probability_proxy,match,ARIMA,0.49910184434133703,0.49930146673625025,48.76903378280372
KKR,win_probability_proxy,match,SARIMAX,0.4845889796308381,0.6203460667712974,78.6669134238394
KTK,runs,match,SARIMAX,23.862508147707644,28.789884816029677,17.888146581231382
KTK,runs,match,ARIMA,32.000013607606135,35.56216908463789,22.891277275606495
KTK,wickets,match,SARIMAX,3.1175352092780932,3.2359494008151013,91.48499034947477
KTK,wickets,match,ARIMA,4.333337205401198,4.795834684856509,152.8572420754016
KTK,win_probability_proxy,match,SARIMAX,0.3035886611935336,0.31575271249491904,42.514825186559534
KTK,win_probability_proxy,match,ARIMA,0.6928543309688497,0.7377480353832877,102.57342978858222
LSG,runs,match,SARIMAX,21.266664996902627,23.113631531041925,11.230438850525472
LSG,runs,match,ARIMA,27.357609632706865,35.00740486415208,12.922642649909571
LSG,wickets,match,ARIMA,1.9038139437058825,2.441104978974729,51.91162564978028
LSG,wickets,match,SARIMAX,3.449285743320965,4.065569490948263,84.28485424332752
LSG,win_probability_proxy,match,ARIMA,0.48044284160619394,0.4858838528168164,43.33104616228975
LSG,win_probability_proxy,match,SARIMAX,0.6090075361190553,0.7577513571950375,52.588534971314026
MI,runs,match,ARIMA,28.975931535775732,35.736867118279655,15.988347031059815
MI,runs,match,SARIMAX,39.65422479392311,43.05342671676518,22.59825116050461
MI,wickets,match,ARIMA,1.8732775035404872,2.268554736315358,44.72471097119696
MI,wickets,match,SARIMAX,1.9377689387604824,2.4711488348001023,34.45782061956492
MI,win_probability_proxy,match,ARIMA,0.50521001459726,0.510828453998965,42.45189377082647
MI,win_probability_proxy,match,SARIMAX,0.47881719770434533,0.5837993759465125,22.86137954184949
PBKS,runs,match,SARIMAX,22.69690871947527,26.712640311329075,14.215180282155263
PBKS,runs,match,ARIMA,34.28040203991654,41.38528839829763,19.16396344585815
PBKS,wickets,match,ARIMA,2.025602762584823,2.432749762546231,39.852529856205834
