Target,Granularity,Model,avg_rmse,avg_mae,avg_mape
runs,match,SARIMAX,24.53799850445585,19.338682197094094,14.232583478275128
runs,match,ARIMA,36.4700268746904,29.363050457858783,20.529420663632283
wickets,match,ARIMA,2.6992926077018393,2.242020165435485,57.892016194435975
wickets,match,SARIMAX,3.3687862518659175,2.817866595327448,60.60631421286633
win_probability_proxy,match,ARIMA,0.5132746493820903,0.49898316793768455,53.32541955288137
win_probability_proxy,match,SARIMAX,0.6595569876658061,0.5474912205089587,59.45042373549949
