Team,Target,Granularity,Model,Step,Forecast,Lower_CI,Upper_CI
DC,runs,match,Prophet,5,153.35896656425973,114.141131043053,193.2218915411981
DC,wickets,match,ARIMA,1,5.737818358961347,0.9800395932725827,10.49559712465011
DC,wickets,match,ARIMA,2,5.915627797595883,1.1507950672456335,10.680460527946133
DC,wickets,match,ARIMA,3,5.963079563210573,1.1982099078555946,10.727949218565552
DC,wickets,match,ARIMA,4,5.911132752594277,1.145625082140267,10.676640423048287
DC,wickets,match,ARIMA,5,5.953079881697404,1.187538641184383,10.718621122210426
DC,wickets,match,SARIMAX,1,9.719832003994824,5.909801461882479,13.52986254610717
DC,wickets,match,SARIMAX,2,9.346980746605801,5.468057052886076,13.225904440325527
DC,wickets,match,SARIMAX,3,9.596389232295603,5.686860409769148,13.50591805482206
DC,wickets,match,SARIMAX,4,9.567710144004845,5.630078399173819,13.505341888835872
DC,wickets,match,SARIMAX,5,9.45869090032036,5.493326562448703,13.424055238192015
DC,wickets,match,Prophet,1,7.498835387330925,4.47659512717792,10.410067205003948
DC,wickets,match,Prophet,2,7.509214468849002,4.529839580156965,10.340477446394143
DC,wickets,match,Prophet,3,7.489387592738335,4.5243367296267865,10.446302151503199
DC,wickets,match,Prophet,4,7.4395148852915405,4.712693382913182,10.67416222709459
DC,wickets,match,Prophet,5,7.360827184070828,4.5915121256450275,10.399276889502977
DC,win_probability_proxy,match,ARIMA,1,0.47761558107895397,-0.49632386961287234,1.4515550317707802
DC,win_probability_proxy,match,ARIMA,2,0.5865720584383166,-0.3882073197099778,1.561351436586611
DC,win_probability_proxy,match,ARIMA,3,0.42045354641283383,-0.5545428681133459,1.3954499609390134
DC,win_probability_proxy,match,ARIMA,4,0.5883337849217762,-0.38838650187621837,1.565054071719771
DC,win_probability_proxy,match,ARIMA,5,0.4243858422895502,-0.5523988667235151,1.4011705513026154
DC,win_probability_proxy,match,SARIMAX,1,0.16651920194937775,-0.6187389303091003,0.9517773342078558
DC,win_probability_proxy,match,SARIMAX,2,0.254431881695675,-0.555534280070309,1.064398043461659
