batter,batsman_total_runs,balls_faced,strike_rate,fours,sixes,boundary_percentage,kmeans_cluster,hierarchical_cluster,batsman_type
E Lewis,654,499,131.06212424849699,62.0,36.0,70.9480122324159,3,0,Balanced Batter
EJG Morgan,1406,1181,119.05165114309906,112.0,64.0,59.17496443812234,0,2,Anchor Batter
F du Plessis,4773,3605,132.3994452149792,440.0,174.0,58.74711921223549,2,1,Power Hitter
G Gambhir,4217,3524,119.66515323496027,492.0,59.0,55.0628408821437,2,3,Power Hitter
GC Smith,739,691,106.94645441389291,94.0,9.0,58.18673883626523,0,2,Anchor Batter
GJ Bailey,663,552,120.1086956521739,59.0,19.0,52.79034690799397,0,2,Anchor Batter
GJ Maxwell,2820,1896,148.73417721518987,238.0,161.0,68.01418439716312,1,0,Aggressive Finisher
H Klaasen,1480,907,163.1753031973539,98.0,89.0,62.56756756756757,3,0,Balanced Batter
HH Gibbs,886,837,105.8542413381123,83.0,31.0,58.465011286681715,0,2,Anchor Batter
HH Pandya,2758,1962,140.57084607543322,207.0,150.0,62.65409717186367,1,3,Aggressive Finisher
Harbhajan Singh,833,636,130.9748427672956,79.0,42.0,68.18727490996399,3,0,Balanced Batter
IK Pathan,1150,985,116.751269035533,88.0,38.0,50.43478260869565,0,2,Anchor Batter
Ishan Kishan,2998,2237,134.01877514528385,288.0,134.0,65.24349566377585,1,3,Aggressive Finisher
JA Morkel,975,712,136.93820224719101,61.0,55.0,58.87179487179487,3,0,Balanced Batter
JC Buttler,4121,2856,144.29271708683473,408.0,185.0,66.53724824071827,1,1,Aggressive Finisher
JD Ryder,604,466,129.6137339055794,69.0,19.0,64.56953642384106,3,0,Balanced Batter
JH Kallis,2427,2291,105.93627237014404,255.0,44.0,52.90482076637824,0,2,Anchor Batter
JJ Roy,614,460,133.47826086956522,75.0,21.0,69.38110749185668,3,0,Balanced Batter
JM Bairstow,1674,1181,141.74428450465706,173.0,74.0,67.86140979689367,3,0,Balanced Batter
JM Sharma,991,656,151.0670731707317,77.0,62.0,68.6175580221998,3,0,Balanced Batter
JP Duminy,2029,1680,120.77380952380952,126.0,79.0,48.20108427796944,0,2,Anchor Batter
KA Pollard,3437,2447,140.45770331017573,221.0,224.0,64.82397439627582,1,3,Aggressive Finisher
KC Sangakkara,1687,1424,118.46910112359551,195.0,27.0,55.838767042086545,0,2,Anchor Batter
KD Karthik,4843,3687,131.35340385136968,466.0,161.0,58.43485442907289,2,1,Power Hitter
KH Pandya,1756,1376,127.61627906976744,153.0,65.0,57.061503416856496,0,2,Anchor Batter
KK Nair,1694,1314,128.9193302891933,185.0,49.0,61.038961038961034,0,0,Anchor Batter
KL Rahul,5235,3947,132.63237902204204,453.0,208.0,58.45272206303726,2,1,Power Hitter
KM Jadhav,1208,1012,119.36758893280633,102.0,40.0,53.64238410596026,0,2,Anchor Batter
KP Pietersen,1001,758,132.0580474934037,91.0,40.0,60.33966033966034,3,0,Balanced Batter
KS Williamson,2132,1734,122.95271049596309,187.0,64.0,53.09568480300187,0,2,Anchor Batter
LMP Simmons,1079,878,122.89293849658314,109.0,44.0,64.87488415199259,0,0,Anchor Batter
LRPL Taylor,1017,847,120.07083825265643,66.0,46.0,53.09734513274337,0,2,Anchor Batter
LS Livingstone,1051,699,150.3576537911302,70.0,75.0,69.45765937202664,3,0,Balanced Batter
M Manhas,514,486,105.76131687242798,43.0,10.0,45.13618677042802,0,2,Anchor Batter
