batter,batsman_total_runs,balls_faced,strike_rate,fours,sixes,boundary_percentage,kmeans_cluster,hierarchical_cluster,player_type
P Negi,365,301,121.2624584717608,27.0,16.0,55.89041095890411,0,2,Anchor Batter
P Simran Singh,1355,904,149.88938053097345,141.0,71.0,73.06273062730627,2,0,Power Hitter
PA Patel,2848,2442,116.62571662571662,365.0,49.0,61.58707865168539,1,3,Aggressive Finisher
PBB Rajapaksa,277,201,137.81094527363183,22.0,15.0,64.25992779783394,2,0,Power Hitter
PC Valthaty,505,432,116.89814814814815,61.0,20.0,72.07920792079207,2,0,Power Hitter
PD Salt,1056,623,169.5024077046549,122.0,56.0,78.03030303030303,2,0,Power Hitter
PJ Cummins,612,417,146.76258992805757,39.0,41.0,65.68627450980392,2,0,Power Hitter
PK Garg,273,247,110.52631578947368,16.0,9.0,43.223443223443226,0,2,Anchor Batter
PP Chawla,624,580,107.58620689655173,56.0,20.0,55.12820512820513,0,2,Anchor Batter
PP Shaw,1892,1321,143.22482967448903,238.0,61.0,69.66173361522199,2,0,Power Hitter
Priyansh Arya,545,310,175.80645161290323,60.0,31.0,78.1651376146789,2,0,Power Hitter
Q de Kock,3312,2533,130.754046585077,325.0,134.0,63.52657004830918,1,3,Aggressive Finisher
R Ashwin,833,728,114.42307692307692,64.0,29.0,51.62064825930373,0,2,Anchor Batter
R Bhatia,342,290,117.93103448275862,24.0,13.0,50.877192982456144,0,2,Anchor Batter
R Dravid,2174,1918,113.34723670490094,269.0,28.0,57.22171113155474,1,3,Aggressive Finisher
R Parag,1570,1156,135.81314878892732,112.0,87.0,61.78343949044586,2,0,Power Hitter
R Powell,365,261,139.84674329501917,22.0,28.0,70.13698630136986,2,0,Power Hitter
R Ravindra,413,298,138.59060402684563,40.0,16.0,61.98547215496368,2,0,Power Hitter
R Sathish,270,236,114.40677966101696,22.0,6.0,45.925925925925924,0,2,Anchor Batter
R Tewatia,1112,851,130.66980023501762,90.0,54.0,61.51079136690647,2,0,Power Hitter
R Vinay Kumar,310,289,107.26643598615917,21.0,9.0,44.516129032258064,0,2,Anchor Batter
RA Jadeja,3260,2607,125.04794783275796,240.0,117.0,50.98159509202455,1,3,Aggressive Finisher
RA Tripathi,2291,1707,134.21206795547744,229.0,85.0,62.243561763422086,1,3,Aggressive Finisher
RD Gaikwad,2502,1863,134.29951690821255,231.0,95.0,59.71223021582733,1,3,Aggressive Finisher
RD Rickelton,388,266,145.86466165413535,47.0,17.0,74.74226804123711,2,0,Power Hitter
RG Sharma,7048,5475,128.73059360730593,640.0,303.0,62.11691259931895,3,1,Balanced Batter
RK Singh,1099,793,138.5876418663304,87.0,56.0,62.23839854413102,2,0,Power Hitter
RM Patidar,1111,759,146.3768115942029,76.0,68.0,64.0864086408641,2,0,Power Hitter
RN ten Doeschate,326,238,136.9747899159664,26.0,15.0,59.50920245398773,2,0,Power Hitter
RR Pant,3566,2504,142.41214057507986,321.0,170.0,64.61020751542344,1,3,Aggressive Finisher
RR Rossouw,473,321,147.35202492211837,45.0,25.0,69.76744186046511,2,0,Power Hitter
RS Bopara,531,468,113.46153846153847,39.0,16.0,47.45762711864407,0,2,Anchor Batter
RV Uthappa,4954,3927,126.15227909345556,481.0,182.0,60.88009689140089,3,1,Balanced Batter
Rahmanullah Gurbaz,363,283,128.26855123674912,34.0,22.0,73.82920110192838,2,0,Power Hitter
Rashid Khan,585,387,151.1627906976744,41.0,41.0,70.08547008547008,2,0,Power Hitter
S Badrinath,1441,1245,115.7429718875502,154.0,28.0,54.406662040249834,0,0,Anchor Batter
S Dhawan,6769,5483,123.45431333211745,768.0,153.0,58.94519131334023,3,1,Balanced Batter
S Dube,1859,1366,136.09077598828696,108.0,122.0,62.61430876815493,1,0,Aggressive Finisher
S Sohal,368,311,118.32797427652733,34.0,18.0,66.30434782608695,2,0,Power Hitter
SA Asnodkar,423,352,120.17045454545455,56.0,10.0,67.13947990543736,2,0,Power Hitter
SA Yadav,4311,2961,145.59270516717325,454.0,168.0,65.5068429598701,3,1,Balanced Batter
SC Ganguly,1349,1326,101.73453996983409,137.0,42.0,59.30318754633062,0,2,Anchor Batter
SE Marsh,2489,1913,130.10977522216413,269.0,78.0,62.03294495781439,1,3,Aggressive Finisher
SE Rutherford,397,310,128.06451612903226,25.0,26.0,64.48362720403023,2,0,Power Hitter
SK Raina,5536,4177,132.53531242518554,506.0,204.0,58.67052023121387,3,1,Balanced Batter
SK Warne,198,219,90.41095890410959,14.0,6.0,46.464646464646464,0,2,Anchor Batter
SM Curran,997,761,131.01182654402103,85.0,41.0,58.77632898696088,2,0,Power Hitter
SN Khan,585,456,128.28947368421052,63.0,14.0,57.43589743589743,0,2,Anchor Batter
SN Thakur,325,243,133.7448559670782,30.0,13.0,60.92307692307693,2,0,Power Hitter
SO Hetmyer,1488,1036,143.62934362934362,94.0,93.0,62.76881720430107,2,0,Power Hitter
SP Goswami,293,307,95.43973941368078,32.0,3.0,49.829351535836174,0,2,Anchor Batter
SP Narine,1780,1144,155.5944055944056,189.0,116.0,81.57303370786518,2,0,Power Hitter
SPD Smith,2495,1999,124.81240620310155,226.0,60.0,50.66132264529058,1,0,Aggressive Finisher
SR Tendulkar,2334,2044,114.18786692759295,296.0,29.0,58.183376178234795,1,3,Aggressive Finisher
SR Watson,3880,2892,134.16320885200554,377.0,190.0,68.24742268041237,3,1,Balanced Batter
SS Iyer,3735,2905,128.57142857142858,315.0,152.0,58.152610441767074,1,3,Aggressive Finisher
SS Tiwary,1494,1291,115.72424477149497,111.0,50.0,49.79919678714859,0,0,Anchor Batter
ST Jayasuriya,768,573,134.03141361256544,84.0,39.0,74.21875,2,0,Power Hitter
STR Binny,880,700,125.71428571428571,66.0,35.0,53.86363636363637,0,2,Anchor Batter
SV Samson,4704,3475,135.36690647482015,379.0,219.0,60.16156462585034,3,1,Balanced Batter
SW Billings,503,399,126.06516290726817,40.0,20.0,55.666003976143145,0,2,Anchor Batter
Shahbaz Ahmed,545,475,114.73684210526316,29.0,25.0,48.80733944954129,0,2,Anchor Batter
Shakib Al Hasan,795,665,119.54887218045113,73.0,21.0,52.57861635220126,0,2,Anchor Batter
Shashank Singh,773,510,151.5686274509804,56.0,43.0,62.35446313065977,2,0,Power Hitter
Shubman Gill,3866,2867,134.8447854900593,372.0,119.0,56.95809622348681,1,3,Aggressive Finisher
T Stubbs,711,442,160.85972850678732,51.0,38.0,60.75949367088608,2,0,Power Hitter
TH David,846,524,161.45038167938932,54.0,60.0,68.08510638297872,2,0,Power Hitter
TL Suman,676,587,115.1618398637138,55.0,26.0,55.62130177514793,0,2,Anchor Batter
TM Dilshan,1153,1047,110.12416427889207,140.0,24.0,61.05810928013877,0,2,Anchor Batter
TM Head,1146,706,162.32294617563738,126.0,55.0,72.77486910994764,2,0,Power Hitter
Tilak Varma,1499,1089,137.64921946740128,113.0,74.0,59.77318212141428,2,0,Power Hitter
UBT Chand,300,314,95.54140127388536,32.0,9.0,60.66666666666667,0,2,Anchor Batter
UT Yadav,208,211,98.5781990521327,16.0,9.0,56.730769230769226,0,2,Anchor Batter
V Kohli,8671,6702,129.37928976424948,774.0,292.0,55.91050628531888,3,1,Balanced Batter
V Sehwag,2728,1833,148.82705946535734,334.0,106.0,72.28739002932552,1,0,Aggressive Finisher
V Shankar,1233,985,125.17766497461929,88.0,48.0,51.9059205190592,0,0,Anchor Batter
VR Iyer,1468,1107,132.61065943992773,136.0,65.0,63.62397820163488,2,0,Power Hitter
VVS Laxman,282,271,104.0590405904059,33.0,5.0,57.446808510638306,0,2,Anchor Batter
WG Jacks,463,306,151.30718954248366,38.0,29.0,70.41036717062636,2,0,Power Hitter
WP Saha,2934,2368,123.90202702702703,296.0,87.0,58.14587593728698,1,3,Aggressive Finisher
Washington Sundar,511,426,119.9530516431925,42.0,16.0,51.66340508806262,0,2,Anchor Batter
Y Nagar,285,271,105.1660516605166,20.0,9.0,47.01754385964912,0,2,Anchor Batter
Y Venugopal Rao,985,865,113.8728323699422,77.0,37.0,53.80710659898477,0,2,Anchor Batter
YBK Jaiswal,2166,1454,148.96836313617607,259.0,92.0,73.31486611265005,1,0,Aggressive Finisher
YK Pathan,3222,2334,138.04627249357327,263.0,161.0,62.63190564866542,1,3,Aggressive Finisher
Yuvraj Singh,2754,2207,124.78477571363842,218.0,149.0,64.12490922294843,1,3,Aggressive Finisher
